date,team_1,team_2,venue,toss_winner,toss_decision,winner,target
2013-11-06,Bangladesh,New Zealand,Shere Bangla National Stadium,New Zealand,bat,New Zealand,0
2013-11-13,Pakistan,South Africa,Dubai International Cricket Stadium,Pakistan,bat,South Africa,0
2013-11-15,Pakistan,South Africa,Dubai International Cricket Stadium,South Africa,bat,South Africa,0
2013-11-16,Canada,Ireland,Sheikh Zayed Stadium,Canada,field,Ireland,0
2013-11-19,Kenya,Scotland,ICC Academy,Kenya,bat,Kenya,1
2013-11-20,South Africa,Pakistan,New Wanderers Stadium,Pakistan,field,South Africa,1
2013-11-21,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,field,Sri Lanka,1
2013-11-22,Netherlands,Scotland,ICC Academy,Netherlands,field,Scotland,0
2013-11-22,South Africa,Pakistan,Newlands,Pakistan,bat,Pakistan,0
2013-11-23,Kenya,Netherlands,ICC Academy,Netherlands,bat,Netherlands,0
2013-11-26,Canada,Kenya,Sharjah Cricket Stadium,Kenya,bat,Kenya,0
2013-11-28,Netherlands,Scotland,Sheikh Zayed Stadium,Scotland,bat,Netherlands,1
2013-12-11,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Pakistan,field,Pakistan,1
2013-12-13,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Pakistan,field,Sri Lanka,0
2014-01-11,New Zealand,West Indies,Eden Park,New Zealand,bat,New Zealand,1
2014-01-15,New Zealand,West Indies,Westpac Stadium,West Indies,bat,New Zealand,1
2014-01-29,Australia,England,Bellerive Oval,Australia,bat,Australia,1
2014-01-31,Australia,England,Melbourne Cricket Ground,England,bat,Australia,1
2014-02-02,Australia,England,Stadium Australia,Australia,bat,Australia,1
2014-02-12,Bangladesh,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,Sri Lanka,0
2014-02-14,Bangladesh,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Bangladesh,bat,Sri Lanka,0
2014-02-19,West Indies,Ireland,"Sabina Park, Kingston",West Indies,bat,Ireland,0
2014-02-21,West Indies,Ireland,"Sabina Park, Kingston",Ireland,field,West Indies,1
2014-03-09,West Indies,England,"Kensington Oval, Bridgetown",West Indies,bat,West Indies,1
2014-03-11,West Indies,England,"Kensington Oval, Bridgetown",England,bat,West Indies,1
2014-03-12,South Africa,Australia,Kingsmead,Australia,field,Australia,0
2014-03-13,West Indies,England,"Kensington Oval, Bridgetown",England,bat,England,0
2014-03-14,South Africa,Australia,SuperSport Park,Australia,field,Australia,0
2014-03-16,Hong Kong,Nepal,Zahur Ahmed Chowdhury Stadium,Hong Kong,field,Nepal,0
2014-03-17,Ireland,Zimbabwe,Sylhet Stadium,Ireland,field,Ireland,1
2014-03-17,Netherlands,United Arab Emirates,Sylhet Stadium,United Arab Emirates,bat,Netherlands,1
2014-03-18,Bangladesh,Nepal,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,Bangladesh,1
2014-03-19,Netherlands,Zimbabwe,Sylhet Stadium,Netherlands,bat,Zimbabwe,0
2014-03-19,Ireland,United Arab Emirates,Sylhet Stadium,Ireland,field,Ireland,1
2014-03-20,Bangladesh,Hong Kong,Zahur Ahmed Chowdhury Stadium,Hong Kong,field,Hong Kong,0
2014-03-21,United Arab Emirates,Zimbabwe,Sylhet Stadium,Zimbabwe,field,Zimbabwe,0
2014-03-21,Ireland,Netherlands,Sylhet Stadium,Netherlands,field,Netherlands,0
2014-03-21,India,Pakistan,Shere Bangla National Stadium,India,field,India,1
2014-03-22,South Africa,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Sri Lanka,bat,Sri Lanka,0
